Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin D, IU : 60",60.0,
"Vitamin E, IU : 1.5",1.5,
"Vitamin K, mcg : 8",8.0,
"Thiamin (Vitamin B1), mcg : 100",100.0,
"Riboflavin (Vitamin B2), mcg : 160",160.0,
"Vitamin B6, mcg : 63",63.0,
"Vitamin B12, mcg : 0.26",0.26,
"Niacin, mcg : 1100",1100.0,
"Folic Acid (Folacin), mcg : 16",16.0,
"Pantothenic Acid, mcg : 470",470.0,
"Biotin, mcg : 4.6",4.6,
"Vitamin C (Ascorbic Acid), mg : 9",9.0,
"Choline, mg : 24",24.0,
"Inositol, mg : 4.5",4.5,
"Vitamin A, IU : 300",300.0,
