,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN,FIBRESOURCE® 1.2 HN
,Servings Per Pack: 1 Serving Size: 237ml,Average Quantityper Serving,%DI*Per Serving,Average Quantityper 1000ml,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,1212 kJ,,5110 kJ,,,,,,,,
1,,290 Cal,,1220 Cal,,,,,,,,
2,Protein,12.8 g,,54 g,,,,,,,,
3,Fat-total,9.7 g,,41 g,,,,,,,,
4,- Saturated,2.6 g,,11 g,,,,,,,,
5,- Polyunsaturated,2.1 g,,9 g,,,,,,,,
6,- Monounsaturated,5.2 g,,22 g,,,,,,,,
7,Carbohydrate,37 g,,156 g,,,,,,,,
8,- Sugars,2.4 g,,10.1 g,,,,,,,,
9,Dietary Fibre,3.6 g,,15 g,,,,,,,,
10,Sodium,245 mg,,1040 mg,,,,,,,,
11,Vitamin A,223 µgRE,,940 µgRE,,,,,,,,
12,Vitamin B1(Thiamin),0.33 mg,,1.4 mg,,,,,,,,
13,Vitamin B2(Riboflavin),0.36 mg,,1.5 mg,,,,,,,,
14,Niacin,3.3 mgNE,,14 mgNE,,,,,,,,
15,Folate,64 µg,,270 µg,,,,,,,,
16,Vitamin B6,0.52 mg,,2.2 mg,,,,,,,,
17,Vitamin B12,1.16 µg,,4.9 µg,,,,,,,,
18,Biotin,9.2 µg,,39 µg,,,,,,,,
19,Pantothenic Acid,1.52 mg,,6.4 mg,,,,,,,,
20,Vitamin C,18.0 mg,,76 mg,,,,,,,,
21,Vitamin D,3.1 µg,,13 µg,,,,,,,,
22,Vitamin E,4.3 mg?-TE,,18 mg?-TE,,,,,,,,
23,Vitamin K,14 µg,,59 µg,,,,,,,,
24,Zinc,2.4 mg,,10 mg,,,,,,,,
25,Calcium,206 mg,,870 mg,,,,,,,,
26,Iron,3.6 mg,,15 mg,,,,,,,,
27,Iodine,28 µg,,120 µg,,,,,,,,
28,Magnesium,38 mg,,160 mg,,,,,,,,
29,Manganese,0.49 mg,,2.06 mg,,,,,,,,
30,Molybdenum,21 µg,,90 µg,,,,,,,,
31,Phosphorus,168 mg,,709 mg,,,,,,,,
32,Selenium,14.2 µg,,60 µg,,,,,,,,
33,Copper,430 µg,,1800 µg,,,,,,,,
34,Chloride,206 mg,,870 mg,,,,,,,,
35,Potassium,334 mg,,1410 mg,,,,,,,,
36,Chromium,12.8 µg,,54 µg,,,,,,,,
37,Choline,78 mg,,329 mg,,,,,,,,
38,,,,,,,,,,,,
39,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve,Contains 0.71g lactose per 237mL serve
40,Contains 0.71g lactose per 237mL serve,,,,,,,,,,,
