,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®,KID ESSENTIALS®
,Servings Per Pack: 14 Serving Size: 55g (Ave Qty per 250mL serve (55g powder + 210mL water)),Average Quantityper Serving,Average Quantityper 100 g,Average Quantityper Serving Ave Qty per 100mL* preparation,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,1067 kJ,1940 kJ,427 kJ,,,,,,,,
1,,255 Cal,463 Cal,102 Cal,,,,,,,,
2,Protein,7.6 g,13.9 g,3.0 g,,,,,,,,
3,Fat-total,10.1 g,18.3 g,4.0 g,,,,,,,,
4,- Saturated,2.6 g,4.7 g,1.0 g,,,,,,,,
5,- Trans,0.1 g,0.1 g,0.04 g,,,,,,,,
6,- Polyunsaturated,1.5 g,2.7 g,0.6 g,,,,,,,,
7,- ALA,200 mg,400 mg,100 mg,,,,,,,,
8,- DHA,11.0 mg,20 mg,4 mg,,,,,,,,
9,- LA,1200 mg,2200 mg,500 mg,,,,,,,,
10,- Monounsaturated,5.2 g,9.5 g,2.1 g,,,,,,,,
11,- MCT- Medium Chain Triglyceride,1.88 g,3.42 g,0.75 g,,,,,,,,
12,Carbohydrate,33.4 g,60.7 g,13.4 g,,,,,,,,
13,- Sugars,13.2 g,24 g,5.3 g,,,,,,,,
14,- lactose,<0.22 g,<0.40 g,<0.10,,,,,,,,
15,Dietary Fibre,,,,,,,,,,,
16,- Inulin,0.2 g,0.3 g,0.1 g,,,,,,,,
17,- Soluble,1.4 g,2.5 g,0.6 g,,,,,,,,
18,- Fructo-Oligosaccharide,0.7 g,1.2 g,0.3 g,,,,,,,,
19,Sodium,124 mg,225 mg,50 mg,,,,,,,,
20,Vitamin A,187 µgRE,340 µgRE,75 µgRE,,,,,,,,
21,Vitamin B1(Thiamin),0.30 mg,0.47 mg,0.12 mg,,,,,,,,
22,Vitamin B2(Riboflavin),0.30 mg,0.48 mg,0.12 mg,,,,,,,,
23,Niacin,3.6 mgNE,6.5 mgNE,1.4 mgNE,,,,,,,,
24,Folate,49.5 µg,90.0 µg,19.8 µg,,,,,,,,
25,Vitamin B6,0.4 mg,0.7 mg,0.2 mg,,,,,,,,
26,Vitamin B12,0.6 µg,1.0 µg,0.2 µg,,,,,,,,
27,Biotin,5.2 µg,9.5 µg,2.1 µg,,,,,,,,
28,Pantothenic Acid,1.4 mg,2.5 mg,0.6 mg,,,,,,,,
29,Vitamin C,18.1 mg,33.0 mg,7.3 mg,,,,,,,,
30,Vitamin D,2.3 µg,4.2 µg,0.9 µg,,,,,,,,
31,Vitamin E,2.3 mg?-TE,4.2 mg?-TE,0.9 mg?-TE,,,,,,,,
32,Vitamin K,13.8 µg,25.0 µg,5.5 µg,,,,,,,,
33,Zinc,1.8 mg,3.3 mg,0.7 mg,,,,,,,,
34,Calcium,209 mg,380 mg,84 mg,,,,,,,,
35,Iron,2.6 mg,4.8 mg,1.0 mg,,,,,,,,
36,Iodine,28 µg,50 µg,11 µg,,,,,,,,
37,Magnesium,26.4 mg,48.0 mg,10.4 mg,,,,,,,,
38,Manganese,0.2 mg,0.4 mg,0.1 mg,,,,,,,,
39,Molybdenum,14 µg,25 µg,6 µg,,,,,,,,
40,Phosphorus,149 mg,270 mg,60 mg,,,,,,,,
41,Selenium,11 µg,20 µg,4 µg,,,,,,,,
42,Copper,200 µg,400 µg,100 µg,,,,,,,,
43,Chloride,198 mg,360 mg,79 mg,,,,,,,,
44,Potassium,308 mg,560 mg,123 mg,,,,,,,,
45,Chromium,7.7 µg,14.0 µg,3.1 µg,,,,,,,,
46,Choline,66.0 mg,120 mg,26 mg,,,,,,,,
47,Probiotics - L.Paracasei,55 million cfu,100million cfu,22 million,,,,,,,,
48,Probiotics - B.Longum,55 million cfu,100million cfu,22 million,,,,,,,,
49,,,,,,,,,,,,
50,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.,*1 litre = 220g powder + 840mL water.
51,*1 litre = 220g powder + 840mL water.,,,,,,,,,,,
