,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal,NOVASOURCE® Renal
,Servings Per Pack: 1 Serving Size: 237ml (Tetra),Average Quantityper Serving,Average Quantityper 1000ml,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,1986 kJ,8360 kJ,,,,,,,,,
1,,475 Cal,2000 Cal,,,,,,,,,
2,Protein,21.6 g,91 g,,,,,,,,,
3,Fat-total,23.7 g,100 g,,,,,,,,,
4,- Saturated,1.7 g,7.1 g,,,,,,,,,
5,- Polyunsaturated,5.9 g,24.7 g,,,,,,,,,
6,- Monounsaturated,13.4 g,56.4 g,,,,,,,,,
7,Carbohydrate,43.8 g,185 g,,,,,,,,,
8,- Sugars,18.2 g,77 g,,,,,,,,,
9,Dietary Fibre,0.0 g,0 g,,,,,,,,,
10,Sodium,223 mg,940 mg,,,,,,,,,
11,Vitamin A,168 µgRE,710 µgRE,,,,,,,,,
12,Vitamin B1(Thiamin),0.45 mg,1.9 mg,,,,,,,,,
13,Vitamin B2(Riboflavin),0.88 mg,3.7 mg,,,,,,,,,
14,Niacin,6.6 mgNE,28 mgNE,,,,,,,,,
15,Folate,235 µg,990 µg,,,,,,,,,
16,Vitamin B6,1.94 mg,8.2 mg,,,,,,,,,
17,Vitamin B12,1.94 µg,8.2 µg,,,,,,,,,
18,Biotin,13.0 µg,55 µg,,,,,,,,,
19,Pantothenic Acid,2.61 mg,11 mg,,,,,,,,,
20,Vitamin C,47 mg,200 mg,,,,,,,,,
21,Vitamin D,2.4 µg,10 µg,,,,,,,,,
22,Vitamin E,8.1 mg?-TE,34 mg?-TE,,,,,,,,,
23,Vitamin K,23.7 µg,97 µg,,,,,,,,,
24,Zinc,4.3 mg,18 mg,,,,,,,,,
25,Calcium,171 mg,720 mg,,,,,,,,,
26,Iron,3.3 mg,14 mg,,,,,,,,,
27,Iodine,52 µg,220 µg,,,,,,,,,
28,Magnesium,47 mg,200 mg,,,,,,,,,
29,Manganese,0.86 mg,3.63 mg,,,,,,,,,
30,Molybdenum,17.5 µg,74 µg,,,,,,,,,
31,Phosphorus,166 mg,700 mg,,,,,,,,,
32,Selenium,28.7 µg,121 µg,,,,,,,,,
33,Copper,520 µg,2200 µg,,,,,,,,,
34,Chloride,166 mg,700 mg,,,,,,,,,
35,Potassium,194 mg,820 mg,,,,,,,,,
36,Chromium,24.9 µg,105 µg,,,,,,,,,
37,Choline,119 mg,500 mg,,,,,,,,,
38,Taurine,47 mg,198 mg,,,,,,,,,
39,Carnitine,71 mg,300 mg,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
