,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g,OPTIFAST VLCD Chocolate Bar 70g
,Servings Per Pack: 6 Serving Size: 70g (Bar),Average Quantity per Serving,Average Quantity per 100g,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1
0,Energy,980 kJ,1390 kJ,,,,,,,,
1,,233 Cal,333 Cal,,,,,,,,
2,Protein,19.3 g,27.6 g,,,,,,,,
3,Fat - total,7.6 g,10.8 g,,,,,,,,
4,- Saturated,2.8 g,4.0 g,,,,,,,,
5,- Monounsaturated,2.7 g,3.8 g,,,,,,,,
6,- Polyunsaturated,1.4 g,2.0 g,,,,,,,,
7,- α-Linolenic Acid,168 mg,240 mg,,,,,,,,
8,- Linoleic Acid,1190 mg,1700 mg,,,,,,,,
9,Carbohydrate,23.4 g,33.4 g,,,,,,,,
10,- Sugars,7.1 g,10.2 g,,,,,,,,
11,- Lactose,1.4 g,2.0 g,,,,,,,,
12,- Glycerol,6.5 g,9.3 g,,,,,,,,
13,- Sorbitol,5.4 g,7.7 g,,,,,,,,
14,Fibre,6.7 g,9.6 g,,,,,,,,
15,- Polydextrose,5.6 g,8.0 g,,,,,,,,
16,Sodium,335 mg,480 mg,,,,,,,,
17,Vitamin A,336 µgRE,480 µgRE,,,,,,,,
18,Thiamin,0.46 mg,0.65 mg,,,,,,,,
19,Riboflavin,0.91 mg,1.30 mg,,,,,,,,
20,Niacin,14 mg NE,20 mg NE,,,,,,,,
21,Pantothenic Acid,2.8 mg,4.0 mg,,,,,,,,
22,Vitamins B6,0.9 mg,1.3 mg,,,,,,,,
23,Biotin,19.6 µg,28 µg,,,,,,,,
24,Folic Acid,140 µg,200 µg,,,,,,,,
25,Vitamin B12,2.0 µg,2.8 µg,,,,,,,,
26,Vitamin C,39 mg,56 mg,,,,,,,,
27,Vitamin D,2.8 µg,4.0 µg,,,,,,,,
28,Vitamin E,5.3 mg TE,7.5 mg TE,,,,,,,,
29,Vitamin K,31.5 ug,45.0 ug,,,,,,,,
30,Calcium,420 mg,600 mg,,,,,,,,
31,Copper,0.8 mg,1.1 mg,,,,,,,,
32,Iodine,70 µg,100 µg,,,,,,,,
33,Iron,6.8 mg,9.7 mg,,,,,,,,
34,Magnesium,140 mg,195 mg,,,,,,,,
35,Manganese,0.8 mg,1.20 mg,,,,,,,,
36,Phosphorus,290 mg,420 mg,,,,,,,,
37,Selenium,28 µg,40 µg,,,,,,,,
38,Zinc,4.9 mg,7.0 mg,,,,,,,,
39,Potassium,840 mg,1200 mg,,,,,,,,
