,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N,VIVONEX® T.E.N
,Servings Per Pack: 1 Serving Size: 80g (80g Powder + 250mL Water),Average Quantityper 100 g,Average Quantityper Serving,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,1607 kJ,1285 kJ,,,,,,,,,
1,,378 kcal,303 kcal,,,,,,,,,
2,Fat-total,1.2 g,1.0 g,,,,,,,,,
3,- Saturated,0.1 g,0.08 g,,,,,,,,,
4,- Monounsaturated,0.35 g,0.28 g,,,,,,,,,
5,- Polyunsaturated,0.75 g,0.60 g,,,,,,,,,
6,Carbohydrate,78 mg,62 mg,,,,,,,,,
7,- Sugar,0.8 g,0.64 g,,,,,,,,,
8,Fibre,0 g,0 g,,,,,,,,,
9,Protein,14 g,11 g,,,,,,,,,
10,Minerals,,,,,,,,,,,
11,Sodium,190 mg,152 mg,,,,,,,,,
12,Chloride,300 mg,240 mg,,,,,,,,,
13,Potassium,375 mg,300 mg,,,,,,,,,
14,Calcium,190 mg,152 mg,,,,,,,,,
15,Phosphorus,190 mg,152 mg,,,,,,,,,
16,Magnesium,75 mg,60 mg,,,,,,,,,
17,Iron,3.4 mg,2.7 mg,,,,,,,,,
18,Zinc,4.2 mg,3.4 mg,,,,,,,,,
19,Copper,0.37 mg,0.30 mg,,,,,,,,,
20,Iodine,50 µg,40 µg,,,,,,,,,
21,Selenium,20 µg,16 µg,,,,,,,,,
22,Manganese,0.37 mg,0.30 mg,,,,,,,,,
23,Chromium,30 µg,24 µg,,,,,,,,,
24,Molybdenum,25 µg,20 µg,,,,,,,,,
25,Vitamins,,,,,,,,,,,
26,Vitamin A,275 µg,220 µg,,,,,,,,,
27,Vitamin D,3.0 µg,2.4 µg,,,,,,,,,
28,Vitamin K,30 µg,24 µg,,,,,,,,,
29,Vitamin C,45 mg,36 mg,,,,,,,,,
30,Vitamin B1,1.0 mg,0.80 mg,,,,,,,,,
31,Vitamin B2,1.0 mg,0.80 mg,,,,,,,,,
32,Vitamin B6,1.0 mg,0.80 mg,,,,,,,,,
33,Niacin,7.5 mgNE,6.0 mgNE,,,,,,,,,
34,Folic Acid,70 µg,56 µg,,,,,,,,,
35,Vitamin B12,1.8 µg,1.4 µg,,,,,,,,,
36,Pantothenic Acid,3.7 mg,3.0 mg,,,,,,,,,
37,Biotin,20 µg,16 µg,,,,,,,,,
38,Vitamin E,7.0 mgTE,5.6 mgTE,,,,,,,,,
39,Choline,75 mg,60 mg,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
